,precision,recall,f1-score,support
0,0.7620396600566572,0.893687707641196,0.8226299694189603,301.0
1,0.696969696969697,0.3898305084745763,0.5,59.0
2,0.7313432835820896,0.7777777777777778,0.7538461538461538,63.0
3,0.0,0.0,0.0,4.0
4,0.6666666666666666,0.2727272727272727,0.3870967741935484,22.0
5,0.0,0.0,0.0,0.0
6,0.9279279279279279,0.8306451612903226,0.8765957446808511,124.0
micro avg,0.7853403141361257,0.7853403141361257,0.7853403141361258,573.0
macro avg,0.5407067478861484,0.45209548970159213,0.4771669488770734,573.0
weighted avg,0.7788822101111122,0.7853403141361257,0.7710609596162273,573.0
samples avg,0.7853403141361257,0.7853403141361257,0.7853403141361257,573.0
